replicate,spearman_rho,p_value
0,0.7915376676986584,9.103407554058783e-05
1,0.5314757481940144,0.023216334307843867
2,0.8452012383900928,1.007895274460845e-05
3,0.5046439628482973,0.03269373337773917
4,0.5727554179566564,0.012978178834505893
5,0.5128998968008256,0.029506553722099375
6,0.6099071207430341,0.007196658594982003
7,0.6202270381836945,0.006032002847171171
8,0.7750257997936018,0.00015833782693194364
9,0.7647058823529412,0.00021879309769392647
10,0.5975232198142414,0.008827374421547773
11,0.7254901960784313,0.0006554343714426355
12,0.7461300309597524,0.0003768588845993769
13,0.7708978328173374,0.00018055675377341644
14,0.6656346749226005,0.0025683279602937087
15,0.27966976264189886,0.2610264770684414
16,0.717234262125903,0.000807070648534508
17,0.7791537667698658,0.00013847602522646014
18,0.6656346749226005,0.0025683279602937087
19,0.760577915376677,0.0002479065453786046
20,0.6986584107327141,0.0012575339153336352
21,0.4674922600619195,0.05043751945104438
22,0.6284829721362228,0.005214699418213291
23,0.6243550051599587,0.0056112726298920695
24,0.5810113519091847,0.0114508540069193
25,0.5789473684210527,0.011818464080461773
26,0.6656346749226005,0.0025683279602937087
27,0.5768833849329206,0.012195441748364483
28,0.7048503611971104,0.0010886663167765575
29,0.5335397316821465,0.022588029798321373
30,0.5995872033023736,0.008536698768223001
31,0.5933952528379773,0.00943261527195847
32,0.6037151702786379,0.007978467211182616
33,0.7461300309597524,0.0003768588845993769
34,0.6078431372549019,0.007450054518883103
35,0.5665634674922602,0.014226822697300039
36,0.5954592363261093,0.009125961400493108
37,0.7254901960784313,0.0006554343714426355
38,0.6594427244582043,0.0029088627228155838
39,0.7378740970072238,0.0004730566959090065
40,0.587203302373581,0.010402557727151924
41,0.78328173374613,0.00012076451611540745
42,0.7956656346749225,7.86687183973289e-05
43,0.7131062951496387,0.0008932304748108589
44,0.49638802889576883,0.036140323756959435
45,0.6429308565531475,0.004002006540262521
46,0.7007223942208461,0.0011989848082819942
47,0.4324045407636739,0.0731081920707255
48,0.40144478844169246,0.09869191321215517
49,0.7543859649122806,0.00029766146155801984
50,0.6222910216718266,0.005818551360831045
51,0.6408668730650156,0.0041595509943915246
52,0.6243550051599587,0.0056112726298920695
53,0.762641898864809,0.00023296654976518388
54,0.653250773993808,0.0032856411027831485
55,0.2776057791537668,0.26470972815378374
56,0.6862745098039216,0.0016609135348996636
57,0.6924664602683178,0.0014476080524246128
58,0.8142414860681115,3.9076829456376884e-05
59,0.7378740970072238,0.0004730566959090065
60,0.7089783281733747,0.0009869258677951244
61,0.6346749226006192,0.00466284274887114
62,0.6842105263157895,0.001737546156850738
63,0.6491228070175438,0.003558373943300945
64,0.6222910216718266,0.005818551360831045
65,0.45304437564499483,0.05901670687313079
66,0.5603715170278638,0.015569122116593606
67,0.6140350877192982,0.006710758773359236
68,0.7275541795665634,0.0006215020932519374
69,0.6676986584107326,0.002462394297708647
70,0.7956656346749225,7.86687183973289e-05
71,0.7688338493292053,0.0001926187299802615
72,0.46955624355005166,0.04929337692796817
73,0.6945304437564499,0.0013817713318639603
74,0.5995872033023736,0.008536698768223001
75,0.6615067079463364,0.0027914618317622228
76,0.6924664602683178,0.0014476080524246128
77,0.7151702786377709,0.0008492395538531108
78,0.8431372549019607,1.1129003812786908e-05
79,0.7874097007223942,0.0001050103927107811
80,0.7894736842105263,9.781072774060512e-05
81,0.6800825593395253,0.0018996026438905026
82,0.8101135190918473,4.594554343625327e-05
83,0.7585139318885449,0.00026364612959071276
84,0.6202270381836945,0.006032002847171171
85,0.6305469556243549,0.0050251422192554435
86,0.5459236326109391,0.019092729509875183
87,0.4406604747162023,0.06720191241367013
88,0.587203302373581,0.010402557727151924
89,0.7461300309597524,0.0003768588845993769
90,0.5913312693498451,0.009747493195938688
91,0.5727554179566564,0.012978178834505893
92,0.6429308565531475,0.004002006540262521
93,0.78328173374613,0.00012076451611540745
94,0.7440660474716203,0.0003992105441266659
95,0.5686274509803922,0.013800437611725471
96,0.7708978328173374,0.00018055675377341644
97,0.4716202270381837,0.04816897678955323
98,0.7915376676986584,9.103407554058783e-05
99,0.38493292053663575,0.11470802686534463
100,0.479876160990712,0.04386464036882083
101,0.8183694530443757,3.3103070471624634e-05
102,0.7667698658410733,0.00020535416507779902
103,0.6883384932920537,0.0015871002439845348
104,0.7007223942208461,0.0011989848082819942
105,0.5479876160990712,0.018554135699121725
106,0.7936016511867906,8.46599736041262e-05
107,0.5335397316821465,0.022588029798321373
108,0.7915376676986584,9.103407554058783e-05
109,0.6594427244582043,0.0029088627228155838
110,0.6078431372549019,0.007450054518883103
111,0.45098039215686275,0.060326235785684724
112,0.6759545923632612,0.0020739524486674083
113,0.6284829721362228,0.005214699418213291
114,0.7853457172342622,0.0001126543102925679
115,0.7523219814241485,0.00031600857312329123
116,0.5087719298245614,0.031068538407296162
117,0.7275541795665634,0.0006215020932519374
118,0.8844169246646028,1.107920999077685e-06
119,0.8059855521155831,5.3816356061133154e-05
120,0.8885448916408669,8.394663545248568e-07
121,0.7420020639834881,0.00042266515033981364
122,0.7296181630546955,0.000589052086651147
123,0.5376676986584108,0.021371414657806453
124,0.8163054695562436,3.598441737777743e-05
125,0.651186790505676,0.0034197801987985712
126,0.7647058823529412,0.00021879309769392647
127,0.5252837977296182,0.02518359155961345
128,0.7378740970072238,0.0004730566959090065
129,0.3828689370485036,0.11683232301276766
130,0.3622291021671827,0.13962500641700293
131,0.3519091847265222,0.15210693918997698
132,0.6615067079463364,0.0027914618317622228
133,0.5706914344685242,0.013384281348823359
134,0.5995872033023736,0.008536698768223001
135,0.5067079463364293,0.031873132260511465
136,0.7254901960784313,0.0006554343714426355
137,0.6656346749226005,0.0025683279602937087
138,0.5603715170278638,0.015569122116593606
139,0.42002063983488136,0.08267356720316324
140,0.6037151702786379,0.007978467211182616
141,0.6697626418988648,0.0023600851881755407
142,0.8968008255933952,4.658861480045656e-07
143,0.6945304437564499,0.0013817713318639603
144,0.7874097007223942,0.0001050103927107811
145,0.4117647058823529,0.08953914742899156
146,0.7089783281733747,0.0009869258677951244
147,0.78328173374613,0.00012076451611540745
148,0.6656346749226005,0.0025683279602937087
149,0.5521155830753354,0.01751291469868339
150,0.7234262125902993,0.0006909021305997825
151,0.6408668730650156,0.0041595509943915246
152,0.5913312693498451,0.009747493195938688
153,0.7110423116615068,0.0009391049276515922
154,0.6305469556243549,0.0050251422192554435
155,0.6800825593395253,0.0018996026438905026
156,0.6449948400412797,0.003849373038824422
157,0.6305469556243549,0.0050251422192554435
158,0.7564499484004128,0.00028021938721360353
159,0.6181630546955624,0.0062517627309340695
160,0.6759545923632612,0.0020739524486674083
161,0.5583075335397317,0.016038200397720793
162,0.7275541795665634,0.0006215020932519374
163,0.696594427244582,0.0013184382796678923
164,0.5768833849329206,0.012195441748364483
165,0.7110423116615068,0.0009391049276515922
166,0.6573787409700722,0.0030302895427941658
167,0.5830753353973168,0.011092443619541665
168,0.5273477812177503,0.024513917732196133
169,0.653250773993808,0.0032856411027831485
